"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"01.10.2022","61,2900","58,4500","64,9150","56,9074","","4,86%"
"01.09.2022","58,4500","60,2300","62,5799","53,2875","","-2,96%"
"01.08.2022","60,2300","61,6200","62,6401","58,2493","","-2,26%"
"01.07.2022","61,6200","51,4500","64,5988","51,3998","","19,77%"
"01.06.2022","51,4500","61,5000","62,4923","50,1006","","-16,34%"
"01.05.2022","61,5000","70,9600","70,9600","55,8383","","-13,33%"
"01.04.2022","70,9600","83,2000","84,9917","70,3221","","-14,71%"
"01.03.2022","83,2000","94,6025","121,2100","82,9525","","-12,05%"
"01.02.2022","94,6025","77,3792","109,1239","74,2873","","22,26%"
"01.01.2022","77,3792","74,6539","80,3251","74,1898","","3,65%"
"01.12.2021","74,6539","74,0838","75,1295","73,1070","","0,77%"
"01.11.2021","74,0838","70,9464","75,8907","70,5283","","4,42%"
"01.10.2021","70,9464","72,7514","73,2325","69,2347","","-2,48%"
"01.09.2021","72,7514","73,2274","73,6184","72,2500","","-0,65%"
"01.08.2021","73,2274","73,1409","74,5781","72,6923","","0,12%"
"01.07.2021","73,1409","73,1925","75,3361","72,8178","","-0,02%"
"01.06.2021","73,1522","73,2636","73,7045","71,5630","","-0,38%"
"01.05.2021","73,4341","75,1859","75,3481","73,1646","","-2,36%"
"01.04.2021","75,2073","75,6500","78,0207","74,2151","","-0,65%"
"01.03.2021","75,6987","74,6196","76,6440","72,5404","","1,45%"
"01.02.2021","74,6196","75,7404","76,2821","73,1509","","-1,48%"
"01.01.2021","75,7404","74,4121","76,4995","73,0857","","1,79%"
"01.12.2020","74,4121","76,4033","76,4123","72,6629","","-2,61%"
"01.11.2020","76,4033","79,5257","80,9205","75,3270","","-3,93%"
"01.10.2020","79,5257","77,6319","79,5905","76,0220","","2,44%"
"01.09.2020","77,6319","74,0718","79,9438","73,3757","","4,81%"
"01.08.2020","74,0718","74,4114","75,9878","72,6438","","-0,46%"
"01.07.2020","74,4114","71,1734","74,4947","70,2013","","4,55%"
"01.06.2020","71,1734","70,1445","71,3213","68,0563","","1,47%"
"01.05.2020","70,1445","74,3813","75,9330","70,1445","","-5,70%"
"01.04.2020","74,3813","78,4426","79,3351","72,6449","","-5,18%"
"01.03.2020","78,4426","66,8806","81,6654","65,3718","","17,29%"
"01.02.2020","66,8806","63,9203","67,6273","62,5671","","4,63%"
"01.01.2020","63,9203","61,9863","63,9415","60,8865","","3,12%"
"01.12.2019","61,9863","64,3195","64,4819","61,5403","","-3,63%"
"01.11.2019","64,3195","64,1328","64,4618","63,1815","","0,29%"
"01.10.2019","64,1328","64,8569","65,5577","63,5624","","-1,12%"
