"Data","Último","Abertura","Máxima","Mínima","Var%"
"Jul 22","55,0200","51,4500","64,5988","51,3998","6,94%"
"Jun 22","51,4500","61,5000","62,4923","50,1006","-16,34%"
"Mai 22","61,5000","70,9600","70,9600","55,8383","-13,33%"
"Abr 22","70,9600","83,2000","84,9917","70,3221","-14,71%"
"Mar 22","83,2000","94,6025","121,2100","82,9525","-12,05%"
"Fev 22","94,6025","77,3792","109,1239","74,2873","22,26%"
"Jan 22","77,3792","74,6539","80,3251","74,1898","3,65%"
"Dez 21","74,6539","74,0838","75,1295","73,1070","0,77%"
"Nov 21","74,0838","70,9464","75,8907","70,5283","4,42%"
"Out 21","70,9464","72,7514","73,2325","69,2347","-2,48%"
"Set 21","72,7514","73,2274","73,6184","72,2500","-0,65%"
"Ago 21","73,2274","73,1409","74,5781","72,6923","0,12%"
"Jul 21","73,1409","73,1925","75,3361","72,8178","-0,02%"
"Jun 21","73,1522","73,2636","73,7045","71,5630","-0,38%"
"Mai 21","73,4341","75,1859","75,3481","73,1646","-2,36%"
"Abr 21","75,2073","75,6500","78,0207","74,2151","-0,65%"
"Mar 21","75,6987","74,6196","76,6440","72,5404","1,45%"
"Fev 21","74,6196","75,7404","76,2821","73,1509","-1,48%"
"Jan 21","75,7404","74,4121","76,4995","73,0857","1,79%"
"Dez 20","74,4121","76,4033","76,4123","72,6629","-2,61%"
"Nov 20","76,4033","79,5257","80,9205","75,3270","-3,93%"
"Out 20","79,5257","77,6319","79,5905","76,0220","2,44%"
"Set 20","77,6319","74,0718","79,9438","73,3757","4,81%"
"Ago 20","74,0718","74,4114","75,9878","72,6438","-0,46%"
"Jul 20","74,4114","71,1734","74,4947","70,2013","4,55%"
"Jun 20","71,1734","70,1445","71,3213","68,0563","1,47%"
"Mai 20","70,1445","74,3813","75,9330","70,1445","-5,70%"
"Abr 20","74,3813","78,4426","79,3351","72,6449","-5,18%"
"Mar 20","78,4426","66,8806","81,6654","65,3718","17,29%"
"Fev 20","66,8806","63,9203","67,6273","62,5671","4,63%"
"Jan 20","63,9203","61,9863","63,9415","60,8865","3,12%"
"Dez 19","61,9863","64,3195","64,4819","61,5403","-3,63%"
