"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","CPIFORECAST","TOT","AGRWTH","A","2020",0.868432479374803,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2021",2.81962978906581,
"AUS","CPIFORECAST","TOT","AGRWTH","A","2022",5.24360231642268,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2020",0.729345427800883,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2021",3.39519318527533,
"CAN","CPIFORECAST","TOT","AGRWTH","A","2022",6.00136773759682,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2020",3.16129528497813,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2021",3.83984491632618,
"CZE","CPIFORECAST","TOT","AGRWTH","A","2022",12.9509314337559,
"DNK","CPIFORECAST","TOT","AGRWTH","A","2020",0.420711974109934,
"DNK","CPIFORECAST","TOT","AGRWTH","A","2021",1.85304544034702,
"DNK","CPIFORECAST","TOT","AGRWTH","A","2022",5.19656092214285,
"HUN","CPIFORECAST","TOT","AGRWTH","A","2020",3.32674385766712,
"HUN","CPIFORECAST","TOT","AGRWTH","A","2021",5.11096534567339,
"HUN","CPIFORECAST","TOT","AGRWTH","A","2022",10.2709489028776,
"ISL","CPIFORECAST","TOT","AGRWTH","A","2020",2.84791869935291,
"ISL","CPIFORECAST","TOT","AGRWTH","A","2021",4.44424340289643,
"ISL","CPIFORECAST","TOT","AGRWTH","A","2022",6.48977727295231,
"JPN","CPIFORECAST","TOT","AGRWTH","A","2020",0,
"JPN","CPIFORECAST","TOT","AGRWTH","A","2021",-0.249979168402689,
"JPN","CPIFORECAST","TOT","AGRWTH","A","2022",1.89760368574062,
"KOR","CPIFORECAST","TOT","AGRWTH","A","2020",0.537288023411984,
"KOR","CPIFORECAST","TOT","AGRWTH","A","2021",2.49833333315535,
"KOR","CPIFORECAST","TOT","AGRWTH","A","2022",4.75244731502684,
"MEX","CPIFORECAST","TOT","AGRWTH","A","2020",3.39683415570015,
"MEX","CPIFORECAST","TOT","AGRWTH","A","2021",5.68920847674181,
"MEX","CPIFORECAST","TOT","AGRWTH","A","2022",6.89369423380616,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2020",1.71456170007207,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2021",3.94112060753604,
"NZL","CPIFORECAST","TOT","AGRWTH","A","2022",6.60832591804093,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2020",1.3093536007224,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2021",3.47619401322139,
"NOR","CPIFORECAST","TOT","AGRWTH","A","2022",4.64326080722039,
"POL","CPIFORECAST","TOT","AGRWTH","A","2020",3.37446972618632,
"POL","CPIFORECAST","TOT","AGRWTH","A","2021",5.05502704968909,
"POL","CPIFORECAST","TOT","AGRWTH","A","2022",11.0654470833384,
"SWE","CPIFORECAST","TOT","AGRWTH","A","2020",0.497367318853519,
"SWE","CPIFORECAST","TOT","AGRWTH","A","2021",2.16319736458853,
"SWE","CPIFORECAST","TOT","AGRWTH","A","2022",6.4697342684499,
"CHE","CPIFORECAST","TOT","AGRWTH","A","2020",-0.725874933313385,
"CHE","CPIFORECAST","TOT","AGRWTH","A","2021",0.58181416972923,
"CHE","CPIFORECAST","TOT","AGRWTH","A","2022",2.48433353305696,
"TUR","CPIFORECAST","TOT","AGRWTH","A","2020",12.2789574462575,
"TUR","CPIFORECAST","TOT","AGRWTH","A","2021",19.5964926943785,
