"Data","Último","Abertura","Máxima","Mínima","Var%"
"07.2022","29,4025","29,5437","29,5485","29,4000","0,52"
"06.2022","29,2500","29,4000","29,5500","29,3987","-0,98"
"05.2022","29,5400","29,4000","30,2710","29,3987","-2,35"
"04.2022","30,2500","29,4000","30,3995","29,4000","2,54"
"03.2022","29,5000","29,4000","30,0500","29,3900","-1,83"
"02.2022","30,0500","28,3350","30,1000","27,8240","6,05"
"01.2022","28,3345","27,3150","29,0471","27,2775","3,98"
"12.2021","27,2500","27,1650","27,4298","26,8430","0,37"
"11.2021","27,1492","26,2750","27,3245","26,0439","3,39"
"10.2021","26,2597","26,5800","26,8512","26,1556","-1,18"
"09.2021","26,5741","26,9352","27,0875","26,4728","-1,21"
"08.2021","26,8991","26,8352","26,9775","26,5896","0,41"
"07.2021","26,7894","27,4310","27,4520","26,7700","-1,72"
"06.2021","27,2592","27,4600","27,5695","26,8934","-0,73"
"05.2021","27,4597","27,7650","27,8272","27,3746","-1,19"
"04.2021","27,7895","27,8102","28,1595","27,6950","-0,11"
"03.2021","27,8198","27,9600","28,0653","27,5632","-0,47"
"02.2021","27,9500","28,1150","28,1551","27,5605","-0,53"
"01.2021","28,1000","28,2700","28,5150","27,9303","-0,71"
"12.2020","28,3000","28,5050","28,5819","27,6600","-0,63"
"11.2020","28,4800","28,5250","28,6720","28,0650","-0,07"
"10.2020","28,4990","28,3000","28,5250","28,1805","0,77"
"09.2020","28,2800","27,5625","28,3500","27,5355","2,67"
"08.2020","27,5440","27,7250","27,8795","26,7700","-0,56"
"07.2020","27,7000","26,6950","27,9069","26,6950","3,82"
"06.2020","26,6800","26,9000","26,9000","26,5525","-0,78"
"05.2020","26,8900","26,9750","27,0434","26,4872","-0,22"
"04.2020","26,9500","27,6225","27,8727","26,9015","-2,30"
"03.2020","27,5840","24,6612","28,2950","24,5800","11,96"
"02.2020","24,6375","25,1222","25,1350","24,3900","-1,47"
"01.2020","25,0050","23,6750","25,0777","23,6300","5,55"
"12.2019","23,6900","23,9650","23,9850","23,2227","-1,17"
"11.2019","23,9700","24,7025","24,8766","23,9447","-3,27"
"10.2019","24,7800","24,4750","25,2588","24,4250","1,85"
"09.2019","24,3300","25,1300","25,3913","24,0373","-3,07"
"08.2019","25,1000","25,2775","25,7675","24,9925","0,07"
"07.2019","25,0825","26,1700","26,2875","24,9400","-4,06"
"06.2019","26,1445","26,8900","27,2677","26,1297","-2,61"
"05.2019","26,8445","26,4975","26,9750","26,0877","1,82"
"04.2019","26,3650","27,2660","27,2660","26,3925","-3,42"
"03.2019","27,3000","27,0450","27,3288","26,2787","1,00"
"02.2019","27,0300","27,6273","27,6297","26,8100","-2,07"
"01.2019","27,6020","27,5270","28,3005","27,4772","-0,35"
"12.2018","27,7000","28,2200","28,2200","27,2122","-1,70"
"11.2018","28,1795","28,1900","28,4385","27,7197","0,28"
"10.2018","28,1000","28,2350","28,3687","27,9150","-0,53"
"09.2018","28,2500","28,2700","28,5200","28,0150","0,07"
"08.2018","28,2300","26,9600","28,2850","26,9500","5,14"
"07.2018","26,8500","26,2250","26,8850","26,1700","2,13"
"06.2018","26,2900","26,1213","26,5000","26,0812","0,73"
"05.2018","26,1000","26,1600","26,3300","26,0450","-0,46"
"04.2018","26,2200","26,3000","26,3250","25,9175","-0,11"
"03.2018","26,2500","26,6750","26,6825","25,8925","-2,05"
"02.2018","26,8000","27,8650","27,9412","26,5100","-3,49"
"01.2018","27,7700","27,9250","28,9050","27,7850","-1,33"
"12.2017","28,1450","27,0200","28,1625","27,0050","4,05"
"11.2017","27,0500","26,8900","27,2100","26,4450","0,63"
"10.2017","26,8800","26,6250","26,9000","26,2300","1,05"
"09.2017","26,6000","25,6950","26,6400","25,6950","3,66"
"08.2017","25,6600","25,8450","25,9450","25,4200","-0,50"
"07.2017","25,7900","26,0800","26,6850","25,7875","-1,07"
"06.2017","26,0700","26,2750","26,7200","25,9875","-0,90"
"05.2017","26,3075","26,5800","26,7500","26,2575","-0,86"
"04.2017","26,5350","27,0700","27,5300","26,5425","-1,87"
"03.2017","27,0400","27,1950","27,1950","26,7400","-0,52"
"02.2017","27,1800","27,0250","27,7500","26,8700","0,41"
"01.2017","27,0700","27,1000","27,8750","26,1500","0,26"
"12.2016","27,0000","25,5500","27,5000","25,5500","5,80"
"11.2016","25,5200","25,5150","26,5250","25,4925","0,08"
"10.2016","25,5000","25,9250","26,0000","25,4700","-1,58"
"09.2016","25,9100","26,6000","26,9000","25,1000","-1,11"
"08.2016","26,2000","24,8037","26,2500","24,7800","5,65"
"07.2016","24,8000","24,8125","24,9450","24,7450","-0,04"
"06.2016","24,8100","25,1500","25,1500","24,8125","-0,96"
"05.2016","25,0500","25,2000","25,5150","25,0450","0,20"
"04.2016","25,0000","26,1000","26,4200","25,0800","-4,21"
"03.2016","26,1000","27,0500","27,3100","25,2500","-2,61"
"02.2016","26,8000","25,7000","27,4350","24,9000","4,69"
"01.2016","25,6000","22,9500","25,7400","22,9500","6,88"
"12.2015","23,9520","24,0250","24,2000","22,5730","1,03"
"11.2015","23,7085","23,0000","24,2410","22,3000","2,23"
"10.2015","23,1920","21,1750","23,3540","21,0450","7,77"
"09.2015","21,5205","22,0500","23,1010","21,1050","-2,62"
"08.2015","22,1000","21,1000","22,9510","21,0420","4,13"
"07.2015","21,2240","21,1000","22,9310","20,9550","1,11"
"06.2015","20,9920","20,8000","22,5000","20,7550","0,20"
"05.2015","20,9500","20,8000","23,3750","20,0430","-1,41"
"04.2015","21,2500","23,4535","24,0438","20,5000","-9,35"
"03.2015","23,4429","26,7500","26,7500","21,3272","-13,97"
"02.2015","27,2500","16,2075","33,7500","16,0690","68,65"
"01.2015","16,1575","15,8185","16,6700","15,6215","2,47"
"","","","","",""
"","Alta:33,7500","Baixa:15,6215","Diferença:18,1285","Média:26,2584","Var%:86,4635"
